common.name,latitude,longitude,observation.count
Belted Kingfisher,37.0022785,-109.032526,1
Belted Kingfisher,37.0034232,-104.3701816,4
Belted Kingfisher,37.0089271,-107.4056053,2
Belted Kingfisher,37.0210117,-106.8708801,2
Belted Kingfisher,37.02525,-107.362184,2
Belted Kingfisher,37.0278879,-106.7512922,1
Belted Kingfisher,37.0566244,-107.4119302,2
Belted Kingfisher,37.0647676,-106.233716,8
Belted Kingfisher,37.0708343,-107.8849517,1
Belted Kingfisher,37.0778043,-107.401464,4
Belted Kingfisher,37.0816009,-106.4991398,1
Belted Kingfisher,37.083952,-107.0669603,2
Belted Kingfisher,37.0973153,-103.0261155,4
Belted Kingfisher,37.0982943,-103.0594967,2
Belted Kingfisher,37.0987291,-103.0603409,9
Belted Kingfisher,37.104639,-103.152491,2
Belted Kingfisher,37.1062352,-103.1851172,8
Belted Kingfisher,37.1103925,-107.384727,4
Belted Kingfisher,37.111046,-103.073441,2
Belted Kingfisher,37.1164348,-108.1994534,3
Belted Kingfisher,37.122258,-106.3292027,1
Belted Kingfisher,37.1232109,-107.3691702,2
Belted Kingfisher,37.1245495,-104.601485,3
Belted Kingfisher,37.1256609,-106.3680276,1
Belted Kingfisher,37.129875,-106.359992,1
Belted Kingfisher,37.130644,-106.341709,1
Belted Kingfisher,37.1348921,-103.0168784,41
Belted Kingfisher,37.135004,-104.611106,1
Belted Kingfisher,37.1354569,-104.5784909,14
Belted Kingfisher,37.1393982,-103.0886446,12
Belted Kingfisher,37.1418456,-107.8788757,37
Belted Kingfisher,37.1428806,-104.5681254,2
Belted Kingfisher,37.1437472,-103.0827943,3
Belted Kingfisher,37.1476823,-103.0019125,2
Belted Kingfisher,37.151234,-103.055088,2
Belted Kingfisher,37.1520736,-107.8849483,1
Belted Kingfisher,37.1728363,-104.4974738,2
Belted Kingfisher,37.1834896,-105.8740132,2
Belted Kingfisher,37.1995558,-107.2573757,6
Belted Kingfisher,37.1999797,-107.8119278,52
Belted Kingfisher,37.200102,-107.258234,4
Belted Kingfisher,37.200484,-107.849377,1
Belted Kingfisher,37.2049703,-107.7542496,3
Belted Kingfisher,37.2208399,-107.8601646,3
Belted Kingfisher,37.222673,-107.863254,2
Belted Kingfisher,37.2250323,-107.8665714,16
Belted Kingfisher,37.2273214,-107.9166842,8
Belted Kingfisher,37.229016,-107.6099843,1
Belted Kingfisher,37.2290699,-107.7916315,3
Belted Kingfisher,37.2295198,-107.6069427,1
Belted Kingfisher,37.2302088,-107.6071787,1
Belted Kingfisher,37.2329233,-107.1836954,2
Belted Kingfisher,37.237162,-106.9807434,1
Belted Kingfisher,37.2415624,-104.4103608,1
Belted Kingfisher,37.242526,-107.3425841,7
Belted Kingfisher,37.2471223,-107.8712941,6
Belted Kingfisher,37.250227,-107.872922,1
Belted Kingfisher,37.251812,-107.8733297,7
Belted Kingfisher,37.252359,-107.87306,1
Belted Kingfisher,37.252795,-107.875095,1
Belted Kingfisher,37.2554047,-107.0119858,4
Belted Kingfisher,37.2611967,-107.099679,1
Belted Kingfisher,37.2620023,-107.0127205,7
Belted Kingfisher,37.2658234,-107.011106,101
Belted Kingfisher,37.266989,-107.008183,1
Belted Kingfisher,37.2670292,-107.0846844,4
Belted Kingfisher,37.2682465,-107.0787942,2
Belted Kingfisher,37.26941,-107.0096,1
Belted Kingfisher,37.2696434,-107.0131338,9
Belted Kingfisher,37.2705609,-106.9998139,2
Belted Kingfisher,37.2707744,-107.8858173,2
Belted Kingfisher,37.2708913,-106.9996402,1
Belted Kingfisher,37.271072,-107.886041,1
Belted Kingfisher,37.2713734,-107.0052481,2
Belted Kingfisher,37.272148,-107.885256,1
Belted Kingfisher,37.2733527,-107.8834301,1
Belted Kingfisher,37.274326,-107.0055699,3
Belted Kingfisher,37.2752991,-107.8796234,1
Belted Kingfisher,37.2771735,-107.0801032,8
Belted Kingfisher,37.2773567,-107.8831941,2
Belted Kingfisher,37.2807117,-107.8743696,221
Belted Kingfisher,37.281421,-107.877251,1
Belted Kingfisher,37.2836225,-107.8730249,1
Belted Kingfisher,37.2860905,-107.8725464,1
Belted Kingfisher,37.2866189,-107.8723848,1
Belted Kingfisher,37.2867429,-107.8722418,4
Belted Kingfisher,37.2878481,-107.0972157,1
Belted Kingfisher,37.2906819,-107.8701425,1
Belted Kingfisher,37.2916038,-107.8694236,5
Belted Kingfisher,37.2940619,-107.869885,1
Belted Kingfisher,37.2949795,-107.8702511,2
Belted Kingfisher,37.294989,-107.869826,2
Belted Kingfisher,37.2950179,-107.8699815,2
Belted Kingfisher,37.2983635,-107.0770025,1
Belted Kingfisher,37.2994048,-107.8628898,5
Belted Kingfisher,37.2999339,-107.8683829,15
Belted Kingfisher,37.301314,-107.864375,1
Belted Kingfisher,37.3015305,-107.8631473,1
Belted Kingfisher,37.3083485,-107.7783036,3
Belted Kingfisher,37.3097203,-107.8546625,14
Belted Kingfisher,37.3115456,-107.1099615,2
Belted Kingfisher,37.3166938,-107.1126866,1
Belted Kingfisher,37.3243269,-107.8379901,1
Belted Kingfisher,37.329424,-107.624554,1
Belted Kingfisher,37.3356935,-108.7374401,1
Belted Kingfisher,37.338155,-108.315034,1
Belted Kingfisher,37.3381929,-108.3121276,1
Belted Kingfisher,37.338239,-108.312007,1
Belted Kingfisher,37.3392159,-108.7860014,1
Belted Kingfisher,37.3417255,-108.3008537,2
Belted Kingfisher,37.3448803,-108.281486,1
Belted Kingfisher,37.3507368,-108.5498161,12
Belted Kingfisher,37.3546849,-106.5332115,1
Belted Kingfisher,37.359232,-107.853474,1
Belted Kingfisher,37.364487,-108.530594,8
Belted Kingfisher,37.364725,-106.2993336,2
Belted Kingfisher,37.3821878,-108.3029008,2
Belted Kingfisher,37.3836111,-105.0944444,4
Belted Kingfisher,37.3908378,-106.8420786,2
Belted Kingfisher,37.393209,-105.5310238,1
Belted Kingfisher,37.3975982,-108.6181856,1
Belted Kingfisher,37.403977,-103.66346,12
Belted Kingfisher,37.4134122,-107.8292409,2
Belted Kingfisher,37.4155153,-107.8301675,1
Belted Kingfisher,37.4243405,-107.5535184,1
Belted Kingfisher,37.4245945,-107.6711655,1
Belted Kingfisher,37.4385003,-105.8016819,2
Belted Kingfisher,37.4465543,-106.8840095,2
Belted Kingfisher,37.45216,-107.54839,1
Belted Kingfisher,37.453856,-103.758858,3
Belted Kingfisher,37.4587973,-103.7669591,1
Belted Kingfisher,37.4613701,-106.5572025,1
Belted Kingfisher,37.47026,-108.5079503,1
Belted Kingfisher,37.47102,-105.859453,1
Belted Kingfisher,37.4711119,-108.4997143,1
Belted Kingfisher,37.4714527,-108.5018261,1
Belted Kingfisher,37.4734198,-108.5040879,1
Belted Kingfisher,37.474577,-108.492365,1
Belted Kingfisher,37.474852,-108.45349,2
Belted Kingfisher,37.4770174,-108.4720774,2
Belted Kingfisher,37.4815134,-105.8674531,1
Belted Kingfisher,37.4875133,-102.3803992,13
Belted Kingfisher,37.4876656,-106.1308691,6
