common.name,latitude,longitude,observation.count
Belted Kingfisher,33.841965,-77.961051,2
Belted Kingfisher,33.853714,-77.964096,2
Belted Kingfisher,33.859401,-78.5268438,16
Belted Kingfisher,33.860841,-77.9832825,1
Belted Kingfisher,33.8614927,-77.9947586,48
Belted Kingfisher,33.864154,-78.544894,2
Belted Kingfisher,33.866073,-78.515841,1
Belted Kingfisher,33.8700592,-77.9834461,1
Belted Kingfisher,33.8702878,-78.5183837,1
Belted Kingfisher,33.8715558,-78.5078716,11
Belted Kingfisher,33.8719477,-77.9977262,6
Belted Kingfisher,33.8729098,-78.4842682,8
Belted Kingfisher,33.8747983,-78.4819078,3
Belted Kingfisher,33.875703,-78.509203,1
Belted Kingfisher,33.875725,-78.493115,2
Belted Kingfisher,33.87603,-78.49315,4
Belted Kingfisher,33.8764826,-78.509495,1
Belted Kingfisher,33.8766973,-78.5406388,2
Belted Kingfisher,33.8768292,-78.5407341,2
Belted Kingfisher,33.877478,-77.998119,2
Belted Kingfisher,33.880098,-78.530675,1
Belted Kingfisher,33.8801478,-78.5303007,8
Belted Kingfisher,33.8802858,-78.5381047,3
Belted Kingfisher,33.8806771,-77.9576111,10
Belted Kingfisher,33.88077,-78.51223,1
Belted Kingfisher,33.881147,-78.5211285,2
Belted Kingfisher,33.8812654,-78.521232,1
Belted Kingfisher,33.881268,-78.5214373,1
Belted Kingfisher,33.8813304,-78.5211736,1
Belted Kingfisher,33.8813407,-78.5213874,1
Belted Kingfisher,33.8813487,-78.5212044,1
Belted Kingfisher,33.8815991,-78.5205658,1
Belted Kingfisher,33.8816035,-78.5207248,2
Belted Kingfisher,33.882141,-78.459793,4
Belted Kingfisher,33.882237,-78.511207,1
Belted Kingfisher,33.8830112,-78.5100372,1
Belted Kingfisher,33.88309,-78.51081,1
Belted Kingfisher,33.883241,-78.509727,2
Belted Kingfisher,33.8833136,-78.526926,65
Belted Kingfisher,33.883341,-78.510795,3
Belted Kingfisher,33.8834205,-78.5272264,4
Belted Kingfisher,33.8834205,-78.5104036,4
Belted Kingfisher,33.8839905,-78.5335779,1
Belted Kingfisher,33.8840701,-78.4601748,6
Belted Kingfisher,33.8840868,-78.509967,2
Belted Kingfisher,33.8846737,-78.5674721,3
Belted Kingfisher,33.884756,-78.459359,1
Belted Kingfisher,33.8852731,-78.4638834,1
Belted Kingfisher,33.885598,-78.453695,2
Belted Kingfisher,33.886351,-78.449726,1
Belted Kingfisher,33.8864232,-78.5126409,2
Belted Kingfisher,33.8866372,-78.5124597,1
Belted Kingfisher,33.8875887,-78.5168839,2
Belted Kingfisher,33.888372,-78.529357,1
Belted Kingfisher,33.888491,-78.545383,1
Belted Kingfisher,33.8886219,-78.5288465,19
Belted Kingfisher,33.8886386,-78.5295465,1
Belted Kingfisher,33.8888186,-78.5498989,1
Belted Kingfisher,33.8889006,-78.5498048,2
Belted Kingfisher,33.8889209,-78.5497814,1
Belted Kingfisher,33.8889326,-78.5495208,1
Belted Kingfisher,33.8889361,-78.5498753,2
Belted Kingfisher,33.888945,-78.5497639,1
Belted Kingfisher,33.8889472,-78.5491242,1
Belted Kingfisher,33.88895,-78.5498215,1
Belted Kingfisher,33.888991,-78.5496733,1
Belted Kingfisher,33.8889942,-78.5496629,1
Belted Kingfisher,33.8889967,-78.5495407,1
Belted Kingfisher,33.889022,-78.5496713,2
Belted Kingfisher,33.889047,-78.5498281,1
Belted Kingfisher,33.8890549,-78.5496611,1
Belted Kingfisher,33.8890735,-78.5498621,1
Belted Kingfisher,33.8890748,-78.5498762,1
Belted Kingfisher,33.8890788,-78.5495729,1
Belted Kingfisher,33.8890989,-78.5495562,1
Belted Kingfisher,33.8891124,-78.5498129,1
Belted Kingfisher,33.8891746,-78.549715,2
Belted Kingfisher,33.8892275,-78.5494351,2
Belted Kingfisher,33.8893843,-78.5486412,1
Belted Kingfisher,33.8894011,-78.5504183,1
Belted Kingfisher,33.889541,-78.549428,1
Belted Kingfisher,33.8900647,-78.5492581,2
Belted Kingfisher,33.890168,-78.549119,2
Belted Kingfisher,33.8903675,-78.5491562,1
Belted Kingfisher,33.8903675,-78.0199242,9
Belted Kingfisher,33.8906477,-78.5771904,2
Belted Kingfisher,33.8906555,-78.5148883,2
Belted Kingfisher,33.8907704,-78.5527903,2
Belted Kingfisher,33.8914125,-78.4276199,12
Belted Kingfisher,33.8915974,-78.4377333,3
Belted Kingfisher,33.892154,-78.513933,2
Belted Kingfisher,33.89221,-78.5128325,2
Belted Kingfisher,33.8924938,-78.5128742,2
Belted Kingfisher,33.892632,-78.51266,1
Belted Kingfisher,33.8943183,-78.5200552,1
Belted Kingfisher,33.896073,-78.419107,1
Belted Kingfisher,33.8968591,-78.4034489,1
Belted Kingfisher,33.8974135,-78.510764,1
Belted Kingfisher,33.8974338,-78.5412643,1
Belted Kingfisher,33.8977631,-78.4031005,1
Belted Kingfisher,33.9010986,-78.3941245,18
Belted Kingfisher,33.9019945,-78.3825073,1
Belted Kingfisher,33.90238,-78.39187,4
Belted Kingfisher,33.9032891,-78.5538445,1
Belted Kingfisher,33.9041352,-78.5182142,1
Belted Kingfisher,33.9086617,-78.1008752,2
Belted Kingfisher,33.9105973,-78.1224575,1
Belted Kingfisher,33.9109461,-78.3277364,5
Belted Kingfisher,33.9116654,-78.4025507,4
Belted Kingfisher,33.9121199,-78.0831707,5
Belted Kingfisher,33.912465,-78.122321,2
Belted Kingfisher,33.912903,-78.384527,5
Belted Kingfisher,33.9130537,-78.3023966,2
Belted Kingfisher,33.9130744,-78.3845716,1
Belted Kingfisher,33.9130833,-78.127466,1
Belted Kingfisher,33.9131701,-78.3271113,2
Belted Kingfisher,33.9147732,-78.087033,11
Belted Kingfisher,33.9149375,-78.1381425,3
Belted Kingfisher,33.9152004,-78.141788,3
Belted Kingfisher,33.9152057,-78.1308603,1
Belted Kingfisher,33.915377,-78.145585,48
Belted Kingfisher,33.9154,-78.141766,2
Belted Kingfisher,33.915493,-78.2138994,1
Belted Kingfisher,33.915548,-78.213533,1
Belted Kingfisher,33.915625,-78.153047,1
Belted Kingfisher,33.915786,-78.514028,1
Belted Kingfisher,33.9157972,-78.1306628,4
Belted Kingfisher,33.915801,-77.943713,1
Belted Kingfisher,33.9161556,-78.2402945,2
Belted Kingfisher,33.916279,-78.023733,1
Belted Kingfisher,33.916712,-78.0188486,28
Belted Kingfisher,33.916875,-78.141412,1
Belted Kingfisher,33.9170459,-78.0188084,1
Belted Kingfisher,33.9171349,-78.1525862,3
Belted Kingfisher,33.9171832,-78.3592706,4
Belted Kingfisher,33.917405,-78.152477,2
