common.name,latitude,longitude,observation.count
Belted Kingfisher,41.9941909,-120.3235781,2
Belted Kingfisher,42.0016008,-124.2119408,11
Belted Kingfisher,42.001832,-124.163012,1
Belted Kingfisher,42.0022578,-124.2111089,1
Belted Kingfisher,42.003563,-124.213745,1
Belted Kingfisher,42.0036674,-124.1977143,7
Belted Kingfisher,42.00583,-124.18644,1
Belted Kingfisher,42.0059705,-124.2130351,16
Belted Kingfisher,42.006193,-124.2127079,1
Belted Kingfisher,42.0067616,-121.5353679,4
Belted Kingfisher,42.0068076,-124.1837198,1
Belted Kingfisher,42.009596,-121.612296,1
Belted Kingfisher,42.0098602,-121.1171651,5
Belted Kingfisher,42.0105298,-121.5615535,1
Belted Kingfisher,42.0105759,-124.1838698,3
Belted Kingfisher,42.013744,-121.7566509,1
Belted Kingfisher,42.014954,-121.4117843,1
Belted Kingfisher,42.0163968,-121.7903137,1
Belted Kingfisher,42.0193881,-124.1055308,2
Belted Kingfisher,42.0205012,-122.0996046,2
Belted Kingfisher,42.022104,-122.106682,1
Belted Kingfisher,42.022437,-122.105951,2
Belted Kingfisher,42.0225023,-121.6002095,5
Belted Kingfisher,42.02256,-123.63278,2
Belted Kingfisher,42.022662,-122.107583,1
Belted Kingfisher,42.0228051,-121.6000915,1
Belted Kingfisher,42.0243057,-121.8256073,3
Belted Kingfisher,42.0244,-122.348319,2
Belted Kingfisher,42.02616,-124.1434,1
Belted Kingfisher,42.026335,-122.100585,2
Belted Kingfisher,42.026544,-122.10065,22
Belted Kingfisher,42.0332143,-124.1674358,1
Belted Kingfisher,42.03543,-124.108729,2
Belted Kingfisher,42.0355188,-123.6416925,1
Belted Kingfisher,42.0366355,-124.1087123,1
Belted Kingfisher,42.0385842,-121.769886,8
Belted Kingfisher,42.03873,-121.815969,1
Belted Kingfisher,42.038863,-121.863626,4
Belted Kingfisher,42.0393343,-121.735761,4
Belted Kingfisher,42.041815,-121.201558,2
Belted Kingfisher,42.044055,-124.290613,1
Belted Kingfisher,42.0441564,-124.2716564,7
Belted Kingfisher,42.0443211,-124.2902613,7
Belted Kingfisher,42.0445123,-124.2695332,9
Belted Kingfisher,42.045703,-124.264297,1
Belted Kingfisher,42.0460479,-121.7664279,1
Belted Kingfisher,42.0471,-124.09379,1
Belted Kingfisher,42.04819,-124.09077,1
Belted Kingfisher,42.04856,-124.088,1
Belted Kingfisher,42.0515568,-124.2900782,1
Belted Kingfisher,42.0517783,-124.2693615,16
Belted Kingfisher,42.0529892,-124.2838669,9
Belted Kingfisher,42.0552835,-123.118329,1
Belted Kingfisher,42.0555065,-122.0897555,1
Belted Kingfisher,42.0561797,-122.0892084,1
Belted Kingfisher,42.0577104,-124.273653,4
Belted Kingfisher,42.0597,-123.11226,1
Belted Kingfisher,42.0625322,-120.1598632,2
Belted Kingfisher,42.063978,-124.22987,3
Belted Kingfisher,42.0641406,-124.2272864,1
Belted Kingfisher,42.064279,-124.227948,4
Belted Kingfisher,42.06557,-123.61993,1
Belted Kingfisher,42.066436,-124.264597,2
Belted Kingfisher,42.06671,-124.308365,2
Belted Kingfisher,42.0682032,-124.3147445,1
Belted Kingfisher,42.068473,-124.208075,2
Belted Kingfisher,42.068482,-124.3106461,1
Belted Kingfisher,42.0692139,-121.8489531,2
Belted Kingfisher,42.069346,-121.849597,1
Belted Kingfisher,42.071083,-123.690102,10
Belted Kingfisher,42.0729977,-123.6973429,1
Belted Kingfisher,42.075003,-124.212662,1
Belted Kingfisher,42.0760732,-124.2891435,1
Belted Kingfisher,42.0786678,-120.7015514,6
Belted Kingfisher,42.0808884,-123.6325885,1
Belted Kingfisher,42.0846768,-120.7048988,2
Belted Kingfisher,42.0876377,-124.1940504,4
Belted Kingfisher,42.087743,-124.193248,6
Belted Kingfisher,42.090355,-124.192747,1
Belted Kingfisher,42.0918078,-122.0566596,14
Belted Kingfisher,42.093198,-120.2018415,1
Belted Kingfisher,42.0989707,-123.6823225,1
Belted Kingfisher,42.1010245,-124.3445492,2
Belted Kingfisher,42.1104808,-123.6286569,1
Belted Kingfisher,42.1127902,-124.18569,31
Belted Kingfisher,42.113155,-124.185183,2
Belted Kingfisher,42.115555,-124.192519,4
Belted Kingfisher,42.118481,-124.198141,2
Belted Kingfisher,42.1186027,-124.1960058,2
Belted Kingfisher,42.1188023,-124.195648,2
Belted Kingfisher,42.119167,-123.077981,3
Belted Kingfisher,42.1193347,-124.1963884,1
Belted Kingfisher,42.1194582,-122.5159585,9
Belted Kingfisher,42.11986,-120.583442,1
