common.name,latitude,longitude,observation.count
Belted Kingfisher,42.7364093,-72.5091818,1
Belted Kingfisher,42.7374895,-72.4744078,1
Belted Kingfisher,42.7470543,-72.9237156,2
Belted Kingfisher,42.752105,-73.227121,1
Belted Kingfisher,42.7525849,-73.2164703,1
Belted Kingfisher,42.7545123,-73.2360649,1
Belted Kingfisher,42.7597867,-73.2339873,1
Belted Kingfisher,42.760318,-72.4833888,17
Belted Kingfisher,42.7654458,-72.5051308,1
Belted Kingfisher,42.7662965,-72.5032425,25
Belted Kingfisher,42.7665485,-72.6051664,1
Belted Kingfisher,42.7719042,-72.5151729,21
Belted Kingfisher,42.7722822,-72.5142288,4
Belted Kingfisher,42.7724076,-72.5148344,2
Belted Kingfisher,42.7770947,-72.8785653,1
Belted Kingfisher,42.7835591,-72.5236702,8
Belted Kingfisher,42.7844417,-72.986157,2
Belted Kingfisher,42.7846299,-72.5198507,80
Belted Kingfisher,42.790935,-73.255896,14
Belted Kingfisher,42.7985652,-73.1929655,1
Belted Kingfisher,42.8047531,-72.5930768,1
Belted Kingfisher,42.809495,-73.2861337,1
Belted Kingfisher,42.8099283,-73.1788176,50
Belted Kingfisher,42.8117022,-72.5662617,1
Belted Kingfisher,42.813583,-72.593411,1
Belted Kingfisher,42.8208579,-72.9049611,3
Belted Kingfisher,42.823987,-73.1285856,2
Belted Kingfisher,42.830414,-72.5498253,9
Belted Kingfisher,42.830959,-72.586448,1
Belted Kingfisher,42.835248,-72.5490436,3
Belted Kingfisher,42.842515,-72.5506469,1
Belted Kingfisher,42.8434176,-72.713069,1
Belted Kingfisher,42.8526969,-72.7967218,1
Belted Kingfisher,42.8578974,-72.5664568,4
Belted Kingfisher,42.8601504,-72.5637023,2
Belted Kingfisher,42.8605912,-73.195585,2
Belted Kingfisher,42.8635303,-72.5668538,1
Belted Kingfisher,42.8646727,-72.5626374,26
Belted Kingfisher,42.8649917,-72.5594516,1
Belted Kingfisher,42.8650187,-72.897892,1
Belted Kingfisher,42.8698427,-72.5628519,3
Belted Kingfisher,42.869984,-72.600523,2
Belted Kingfisher,42.8701553,-72.5630976,3
Belted Kingfisher,42.8705748,-72.5622452,1
Belted Kingfisher,42.8708376,-72.5623799,152
Belted Kingfisher,42.8711092,-72.5618255,6
Belted Kingfisher,42.8711585,-72.5596457,1
Belted Kingfisher,42.8716868,-73.2538319,1
Belted Kingfisher,42.8724967,-73.180511,10
Belted Kingfisher,42.8726854,-73.1808436,48
Belted Kingfisher,42.8732117,-72.5677583,3
Belted Kingfisher,42.874224,-72.561101,4
Belted Kingfisher,42.8750622,-72.8184591,3
Belted Kingfisher,42.8755668,-72.8243136,1
Belted Kingfisher,42.877776,-72.554689,1
Belted Kingfisher,42.879479,-73.075172,4
Belted Kingfisher,42.881036,-72.707138,1
Belted Kingfisher,42.8812287,-72.5630683,1
Belted Kingfisher,42.8825207,-72.56277,1
Belted Kingfisher,42.8831893,-73.2182757,2
Belted Kingfisher,42.8840776,-73.2327604,1
Belted Kingfisher,42.8862584,-73.0395716,1
Belted Kingfisher,42.8877064,-73.2451692,1
Belted Kingfisher,42.8879767,-73.2449055,11
Belted Kingfisher,42.8881653,-73.0361652,1
Belted Kingfisher,42.8906179,-73.2650757,2
Belted Kingfisher,42.8907707,-72.9520808,1
Belted Kingfisher,42.8976847,-73.2505059,1
Belted Kingfisher,42.904822,-72.848618,1
Belted Kingfisher,42.9061483,-73.2317734,1
Belted Kingfisher,42.906208,-72.5992424,1
Belted Kingfisher,42.910559,-73.2297134,1
Belted Kingfisher,42.9128351,-72.9588747,2
Belted Kingfisher,42.9133253,-73.2577372,1
Belted Kingfisher,42.916829,-72.651568,2
Belted Kingfisher,42.9173911,-73.2464,6
Belted Kingfisher,42.9174007,-73.2656658,3
Belted Kingfisher,42.917714,-73.238344,2
Belted Kingfisher,42.9184379,-72.5259233,1
Belted Kingfisher,42.91885,-72.68236,2
Belted Kingfisher,42.9190291,-72.8823135,1
Belted Kingfisher,42.9210778,-73.236537,7
Belted Kingfisher,42.921197,-72.566315,1
Belted Kingfisher,42.9265457,-73.2435644,4
Belted Kingfisher,42.9275827,-73.2237482,1
Belted Kingfisher,42.9287017,-73.2470016,2
Belted Kingfisher,42.931043,-73.229951,1
Belted Kingfisher,42.9316494,-73.2279876,5
Belted Kingfisher,42.9329749,-73.2326876,76
Belted Kingfisher,42.9401907,-73.2284218,2
Belted Kingfisher,42.940248,-72.983823,2
Belted Kingfisher,42.9472505,-72.6509142,1
Belted Kingfisher,42.9496766,-73.2120185,1
Belted Kingfisher,42.9498853,-73.2013464,3
Belted Kingfisher,42.9572705,-72.5275755,20
Belted Kingfisher,42.9574681,-72.527377,1
Belted Kingfisher,42.9576079,-72.527071,9
Belted Kingfisher,42.958307,-72.5273609,16
Belted Kingfisher,42.960167,-72.524717,1
Belted Kingfisher,42.9602398,-72.5247431,7
Belted Kingfisher,42.9613849,-72.5224686,1
Belted Kingfisher,42.9616989,-72.5211811,1
Belted Kingfisher,42.9618675,-72.5213099,3
Belted Kingfisher,42.9622642,-72.5213099,3
Belted Kingfisher,42.9626944,-72.5202033,7
Belted Kingfisher,42.9628205,-72.8888217,11
Belted Kingfisher,42.964615,-72.890074,1
Belted Kingfisher,42.9667665,-72.889945,2
Belted Kingfisher,42.9691445,-73.1883055,2
Belted Kingfisher,42.9699895,-72.4980927,15
Belted Kingfisher,42.972331,-72.5910369,1
Belted Kingfisher,42.9729883,-72.5631899,1
Belted Kingfisher,42.9737576,-73.1866264,9
Belted Kingfisher,42.975289,-72.580498,1
Belted Kingfisher,42.9757671,-72.4798965,7
Belted Kingfisher,42.9821721,-72.5204086,3
Belted Kingfisher,42.9824214,-72.5212841,6
Belted Kingfisher,42.9825449,-72.5207895,5
Belted Kingfisher,42.9831203,-72.5221833,1
Belted Kingfisher,42.9832396,-72.523756,3
Belted Kingfisher,42.9832825,-72.5216961,1
Belted Kingfisher,42.9833651,-72.5240779,4
Belted Kingfisher,42.9834044,-72.522254,6
Belted Kingfisher,42.9834436,-72.5238419,115
Belted Kingfisher,42.983666,-72.5224686,4
Belted Kingfisher,42.9846052,-72.5237614,1
Belted Kingfisher,42.9851516,-72.4687151,9
Belted Kingfisher,42.9869754,-72.5221252,1
Belted Kingfisher,42.9890787,-73.1922913,2
Belted Kingfisher,42.992806,-72.467314,2
Belted Kingfisher,42.992835,-72.531767,1
Belted Kingfisher,42.994483,-72.4837968,1
Belted Kingfisher,42.99681,-72.6872878,2
Belted Kingfisher,43.0003522,-72.9375947,10
Belted Kingfisher,43.0035958,-73.1680655,1
Belted Kingfisher,43.004429,-72.595599,1
Belted Kingfisher,43.0067422,-72.4483049,40
Belted Kingfisher,43.0080914,-73.1892926,26
Belted Kingfisher,43.0081306,-73.1891799,2
Belted Kingfisher,43.008244,-72.45792,4
Belted Kingfisher,43.0086783,-73.1893121,1
Belted Kingfisher,43.00868,-73.19125,1
Belted Kingfisher,43.0098054,-73.1885147,1
Belted Kingfisher,43.013308,-73.18559,2
Belted Kingfisher,43.0144381,-73.1824207,6
Belted Kingfisher,43.0151701,-73.1820799,16
Belted Kingfisher,43.0165865,-73.1846288,3
Belted Kingfisher,43.018958,-73.181951,1
Belted Kingfisher,43.0203763,-73.1825066,17
Belted Kingfisher,43.0217882,-73.1794381,51
Belted Kingfisher,43.025414,-72.985731,2
Belted Kingfisher,43.0291845,-73.1647825,2
Belted Kingfisher,43.0399439,-73.1644821,49
Belted Kingfisher,43.0450723,-72.9454974,10
Belted Kingfisher,43.045197,-72.9535096,1
Belted Kingfisher,43.0456726,-73.0839114,1
Belted Kingfisher,43.046812,-73.11617,2
Belted Kingfisher,43.0490597,-73.1556595,1
Belted Kingfisher,43.0530998,-73.1504874,3
Belted Kingfisher,43.0546615,-72.7053106,2
Belted Kingfisher,43.0581648,-73.0082703,8
Belted Kingfisher,43.0607164,-72.9680452,1
Belted Kingfisher,43.066279,-72.541205,3
Belted Kingfisher,43.0687937,-73.1590319,32
Belted Kingfisher,43.0689662,-73.1596971,1
Belted Kingfisher,43.0744053,-73.1747818,1
Belted Kingfisher,43.0757846,-73.13972,1
Belted Kingfisher,43.077761,-73.169634,1
Belted Kingfisher,43.0820225,-72.4500918,1
Belted Kingfisher,43.0830695,-72.4377905,2
Belted Kingfisher,43.084503,-73.148271,1
Belted Kingfisher,43.0851418,-72.4391339,2
Belted Kingfisher,43.0883223,-72.7344226,1
Belted Kingfisher,43.0959244,-72.4475006,132
Belted Kingfisher,43.0960469,-72.4468784,1
Belted Kingfisher,43.0962668,-72.447238,2
Belted Kingfisher,43.0965804,-72.4438756,1
Belted Kingfisher,43.0965884,-72.4478221,1
Belted Kingfisher,43.0970247,-73.2100475,1
Belted Kingfisher,43.0988677,-73.1349885,9
Belted Kingfisher,43.1013746,-73.2502699,3
Belted Kingfisher,43.1036149,-72.6507211,1
Belted Kingfisher,43.105149,-73.127314,3
Belted Kingfisher,43.1056516,-72.7727401,5
Belted Kingfisher,43.1060726,-73.0022209,1
Belted Kingfisher,43.1112812,-73.1200111,1
Belted Kingfisher,43.1153325,-72.75846,1
Belted Kingfisher,43.118841,-73.1049585,4
Belted Kingfisher,43.131214,-72.443003,2
Belted Kingfisher,43.1322625,-72.5256228,3
Belted Kingfisher,43.1338655,-72.5120187,1
Belted Kingfisher,43.13617,-72.764457,6
Belted Kingfisher,43.139967,-73.073369,1
Belted Kingfisher,43.1402334,-73.073249,1
Belted Kingfisher,43.1407493,-73.0804324,7
Belted Kingfisher,43.1409737,-73.0698323,1
Belted Kingfisher,43.141225,-73.070133,4
Belted Kingfisher,43.141943,-73.072913,27
Belted Kingfisher,43.1432613,-72.4692978,13
Belted Kingfisher,43.1437199,-72.616024,1
Belted Kingfisher,43.1437241,-72.6157665,1
Belted Kingfisher,43.146112,-73.063455,1
Belted Kingfisher,43.146813,-72.995068,1
Belted Kingfisher,43.1483425,-72.4581385,42
Belted Kingfisher,43.1534138,-72.7323969,2
Belted Kingfisher,43.1558772,-73.0892863,7
Belted Kingfisher,43.1602187,-72.4584121,1
Belted Kingfisher,43.1623993,-72.6138997,1
Belted Kingfisher,43.1624139,-72.6141357,1
Belted Kingfisher,43.1628219,-72.6400459,1
Belted Kingfisher,43.1631584,-72.8102106,1
Belted Kingfisher,43.163159,-72.810387,9
Belted Kingfisher,43.16533,-73.0671,2
Belted Kingfisher,43.1687807,-72.4709744,1
Belted Kingfisher,43.1696143,-73.0626923,1
Belted Kingfisher,43.1715079,-72.6402926,1
Belted Kingfisher,43.1725634,-72.8743045,18
Belted Kingfisher,43.1731583,-72.5975275,2
Belted Kingfisher,43.173932,-72.9167759,1
Belted Kingfisher,43.17698,-73.05705,2
Belted Kingfisher,43.178577,-72.44664,858
Belted Kingfisher,43.17928,-72.72594,1
Belted Kingfisher,43.181482,-72.447215,1
Belted Kingfisher,43.181814,-73.150078,1
Belted Kingfisher,43.1838461,-72.9042674,2
Belted Kingfisher,43.1932252,-72.6034927,2
Belted Kingfisher,43.1942465,-72.4482637,14
Belted Kingfisher,43.194618,-72.568439,1
Belted Kingfisher,43.1974098,-72.6951983,1
Belted Kingfisher,43.199295,-72.50731,1
Belted Kingfisher,43.2013681,-73.0530668,1
Belted Kingfisher,43.2034866,-72.4432039,7
Belted Kingfisher,43.2035919,-72.4456072,3
Belted Kingfisher,43.2036117,-72.4484611,5
Belted Kingfisher,43.2043312,-72.4478388,33
Belted Kingfisher,43.204418,-72.449872,4
Belted Kingfisher,43.2046227,-72.4477996,2
Belted Kingfisher,43.2047436,-72.4441695,5
Belted Kingfisher,43.204802,-72.449561,2
Belted Kingfisher,43.2054261,-72.4404144,40
Belted Kingfisher,43.2061455,-72.4426031,2
Belted Kingfisher,43.206539,-73.057459,4
Belted Kingfisher,43.206559,-73.0578559,1
Belted Kingfisher,43.2070517,-72.4438133,2
Belted Kingfisher,43.208896,-73.017158,2
Belted Kingfisher,43.22225,-72.48207,1
Belted Kingfisher,43.2231599,-72.7654767,2
Belted Kingfisher,43.2246553,-72.7616111,5
Belted Kingfisher,43.2249188,-73.0059206,1
Belted Kingfisher,43.22778,-73.0165198,1
Belted Kingfisher,43.2279131,-73.006264,2
Belted Kingfisher,43.231674,-73.088684,1
Belted Kingfisher,43.23978,-73.00925,1
Belted Kingfisher,43.2463728,-73.0002552,5
Belted Kingfisher,43.2504543,-73.0034637,9
Belted Kingfisher,43.2517671,-73.1048727,1
Belted Kingfisher,43.252121,-73.105972,1
Belted Kingfisher,43.2522811,-73.105365,1
Belted Kingfisher,43.25337,-72.89222,1
Belted Kingfisher,43.2603467,-72.439127,2
Belted Kingfisher,43.2604738,-72.4319043,79
Belted Kingfisher,43.2607061,-72.4298573,3
Belted Kingfisher,43.26096,-72.5792572,1
Belted Kingfisher,43.2611436,-72.4304581,2
Belted Kingfisher,43.2614561,-72.4287415,12
Belted Kingfisher,43.264075,-72.435734,1
Belted Kingfisher,43.271127,-72.608644,8
Belted Kingfisher,43.2722998,-73.2390046,1
Belted Kingfisher,43.2729603,-72.4564296,1
Belted Kingfisher,43.2741734,-73.173573,1
Belted Kingfisher,43.2747111,-73.0068859,3
Belted Kingfisher,43.2752949,-72.4593772,2
Belted Kingfisher,43.278955,-72.4120903,2
Belted Kingfisher,43.2816106,-73.0042577,18
Belted Kingfisher,43.2849467,-72.4108393,3
Belted Kingfisher,43.2885147,-72.4098587,2
Belted Kingfisher,43.2908377,-72.4068404,3
Belted Kingfisher,43.292763,-72.7938652,2
Belted Kingfisher,43.2933253,-72.4313164,1
Belted Kingfisher,43.2935127,-73.2413435,1
Belted Kingfisher,43.2953258,-72.5110263,3
Belted Kingfisher,43.2964,-72.788144,1
Belted Kingfisher,43.300489,-72.785243,2
Belted Kingfisher,43.3136438,-73.2377064,2
Belted Kingfisher,43.3186836,-72.9900742,5
Belted Kingfisher,43.3191988,-72.5502777,1
Belted Kingfisher,43.3223085,-72.5481491,1
Belted Kingfisher,43.3245221,-72.5628948,1
Belted Kingfisher,43.327937,-72.594476,1
Belted Kingfisher,43.333712,-73.243442,2
Belted Kingfisher,43.334596,-72.569686,2
Belted Kingfisher,43.3346521,-72.56908,1
Belted Kingfisher,43.3346833,-72.569536,2
Belted Kingfisher,43.3353988,-72.411314,2
Belted Kingfisher,43.3355417,-73.2482529,1
Belted Kingfisher,43.3358227,-72.9927135,2
Belted Kingfisher,43.3362513,-72.5693321,33
Belted Kingfisher,43.3364157,-72.5704694,2
Belted Kingfisher,43.3376076,-72.5097442,6
Belted Kingfisher,43.3376197,-72.5081226,1
Belted Kingfisher,43.337633,-72.507983,1
Belted Kingfisher,43.3376607,-72.5083602,2
Belted Kingfisher,43.337735,-72.510423,14
Belted Kingfisher,43.338592,-72.782531,1
Belted Kingfisher,43.3392249,-72.5083065,1
Belted Kingfisher,43.3406962,-72.51301,1
Belted Kingfisher,43.3407,-72.5197,1
Belted Kingfisher,43.3410274,-72.439937,39
Belted Kingfisher,43.3417206,-72.5055143,41
Belted Kingfisher,43.3442951,-72.5078213,134
Belted Kingfisher,43.3445049,-73.2497013,9
Belted Kingfisher,43.34617,-72.99535,1
Belted Kingfisher,43.3468215,-72.4129794,1
Belted Kingfisher,43.3479972,-72.5058024,2
Belted Kingfisher,43.3495373,-72.4083901,2
Belted Kingfisher,43.350454,-73.1544024,1
Belted Kingfisher,43.3519717,-72.487701,1
Belted Kingfisher,43.352437,-73.25054,1
Belted Kingfisher,43.3542519,-72.5237024,1
Belted Kingfisher,43.3547649,-72.5029474,2
Belted Kingfisher,43.3551781,-72.5235093,5
Belted Kingfisher,43.3552972,-72.5235844,4
Belted Kingfisher,43.356142,-72.5018147,6
Belted Kingfisher,43.3565823,-72.4060562,7
Belted Kingfisher,43.3566042,-72.3974454,1
Belted Kingfisher,43.3566751,-72.3980463,7
Belted Kingfisher,43.3567564,-72.4513688,9
Belted Kingfisher,43.357185,-72.5003886,14
Belted Kingfisher,43.3573648,-72.3986506,8
Belted Kingfisher,43.3589948,-73.0600262,18
Belted Kingfisher,43.3594953,-72.7245569,1
Belted Kingfisher,43.3619823,-72.9871237,5
Belted Kingfisher,43.363087,-72.499406,9
Belted Kingfisher,43.3632384,-72.4995487,20
Belted Kingfisher,43.363489,-72.500194,3
Belted Kingfisher,43.363897,-72.500342,2
Belted Kingfisher,43.3642958,-73.052178,43
Belted Kingfisher,43.3643,-73.05218,3
Belted Kingfisher,43.368152,-72.518941,1
Belted Kingfisher,43.3697911,-72.4932432,1
Belted Kingfisher,43.371772,-72.495671,4
Belted Kingfisher,43.3764464,-72.4509942,1
Belted Kingfisher,43.3787582,-73.0002505,1
Belted Kingfisher,43.3804674,-72.5005825,1
