common.name,latitude,longitude,observation.count
Belted Kingfisher,37.0006603,-106.0430903,2
Belted Kingfisher,37.0016334,-107.4724032,1
Belted Kingfisher,37.0020919,-104.3692179,1
Belted Kingfisher,37.0022785,-109.032526,3
Belted Kingfisher,37.0034232,-104.3701816,8
Belted Kingfisher,37.0035236,-104.3701037,1
Belted Kingfisher,37.0089271,-107.4056053,6
Belted Kingfisher,37.0093338,-102.7482605,1
Belted Kingfisher,37.0134812,-107.2970942,1
Belted Kingfisher,37.0194653,-107.2157178,1
Belted Kingfisher,37.0205094,-106.0227656,1
Belted Kingfisher,37.0210117,-106.8708801,2
Belted Kingfisher,37.02525,-107.362184,2
Belted Kingfisher,37.0278879,-106.7512922,1
Belted Kingfisher,37.0348991,-107.4133301,2
Belted Kingfisher,37.0556726,-105.6084819,1
Belted Kingfisher,37.0566244,-107.4119302,15
Belted Kingfisher,37.056626,-107.411992,1
Belted Kingfisher,37.0594855,-107.8692424,1
Belted Kingfisher,37.0599718,-107.870121,3
Belted Kingfisher,37.0615,-106.097,2
Belted Kingfisher,37.0647676,-106.233716,17
Belted Kingfisher,37.0677922,-106.2542939,2
Belted Kingfisher,37.0708343,-107.8849517,1
Belted Kingfisher,37.0734455,-106.2743568,2
Belted Kingfisher,37.0738062,-106.2666321,1
Belted Kingfisher,37.0778043,-107.401464,7
Belted Kingfisher,37.0816009,-106.4991398,1
Belted Kingfisher,37.083952,-107.0669603,2
Belted Kingfisher,37.087775,-104.884758,3
Belted Kingfisher,37.0930126,-108.1303596,1
Belted Kingfisher,37.0938898,-105.3262355,1
Belted Kingfisher,37.0946215,-105.4121017,1
Belted Kingfisher,37.0969168,-105.3312696,1
Belted Kingfisher,37.0973153,-103.0261155,4
Belted Kingfisher,37.0982943,-103.0594967,2
Belted Kingfisher,37.0987291,-103.0603409,34
Belted Kingfisher,37.0998839,-103.0458434,1
Belted Kingfisher,37.104639,-103.152491,2
Belted Kingfisher,37.1062352,-103.1851172,10
Belted Kingfisher,37.1103925,-107.384727,4
Belted Kingfisher,37.1109459,-103.0673789,1
Belted Kingfisher,37.111046,-103.073441,2
Belted Kingfisher,37.1113783,-103.0746249,1
Belted Kingfisher,37.112788,-107.384673,1
Belted Kingfisher,37.1164348,-108.1994534,3
Belted Kingfisher,37.1164482,-108.2003537,2
Belted Kingfisher,37.118517,-104.603677,1
Belted Kingfisher,37.1187249,-104.6056063,8
Belted Kingfisher,37.1207431,-106.3272895,1
Belted Kingfisher,37.122258,-106.3292027,1
Belted Kingfisher,37.1225146,-107.3699641,1
Belted Kingfisher,37.1226212,-107.37003,1
Belted Kingfisher,37.1230621,-104.6011519,2
Belted Kingfisher,37.1232109,-107.3691702,2
Belted Kingfisher,37.1244671,-104.7541597,1
Belted Kingfisher,37.1245495,-104.601485,9
Belted Kingfisher,37.1256609,-106.3680276,1
Belted Kingfisher,37.1256704,-107.3647941,1
Belted Kingfisher,37.129875,-106.359992,1
Belted Kingfisher,37.1301318,-107.3601877,2
Belted Kingfisher,37.1303845,-104.8486662,2
Belted Kingfisher,37.130644,-106.341709,1
Belted Kingfisher,37.131167,-107.63063,1
Belted Kingfisher,37.1336472,-107.6269532,1
Belted Kingfisher,37.1348921,-103.0168784,69
Belted Kingfisher,37.134976,-107.014868,1
Belted Kingfisher,37.135004,-104.611106,1
Belted Kingfisher,37.1354569,-104.5784909,27
Belted Kingfisher,37.1365087,-104.5742226,1
Belted Kingfisher,37.1377015,-105.047915,2
Belted Kingfisher,37.1393982,-103.0886446,22
Belted Kingfisher,37.1399233,-107.5478476,2
Belted Kingfisher,37.140731,-107.350623,2
Belted Kingfisher,37.1407821,-107.8787463,1
