common.name,latitude,longitude,observation.count
Belted Kingfisher,33.841965,-77.961051,5
Belted Kingfisher,33.850593,-77.964748,2
Belted Kingfisher,33.8531676,-77.9781675,1
Belted Kingfisher,33.853714,-77.964096,2
Belted Kingfisher,33.8549742,-77.9600854,4
Belted Kingfisher,33.855836,-78.535416,1
Belted Kingfisher,33.8564464,-78.4974861,1
Belted Kingfisher,33.856513,-78.53872,1
Belted Kingfisher,33.8571433,-77.994689,1
Belted Kingfisher,33.858723,-77.973094,1
Belted Kingfisher,33.858723,-77.972832,1
Belted Kingfisher,33.8590124,-77.9727173,9
Belted Kingfisher,33.859401,-78.5268438,56
Belted Kingfisher,33.860424,-77.984407,1
Belted Kingfisher,33.860841,-77.9832825,39
Belted Kingfisher,33.860868,-77.984123,1
Belted Kingfisher,33.8610258,-77.9961061,2
Belted Kingfisher,33.8614927,-77.9947586,291
Belted Kingfisher,33.86188,-77.99441,13
Belted Kingfisher,33.862269,-77.996492,1
Belted Kingfisher,33.8623934,-77.9965568,1
Belted Kingfisher,33.8634313,-77.9909992,4
Belted Kingfisher,33.864154,-78.544894,2
Belted Kingfisher,33.865512,-78.515961,15
Belted Kingfisher,33.865565,-78.516896,1
Belted Kingfisher,33.8657119,-77.9704857,8
Belted Kingfisher,33.8659492,-77.9899279,2
Belted Kingfisher,33.8660683,-78.5065842,6
Belted Kingfisher,33.866073,-78.515841,1
Belted Kingfisher,33.866576,-78.516395,2
Belted Kingfisher,33.866791,-78.51657,2
Belted Kingfisher,33.866941,-78.516651,2
Belted Kingfisher,33.867491,-78.517687,2
Belted Kingfisher,33.867542,-78.517523,1
Belted Kingfisher,33.868142,-77.992837,1
Belted Kingfisher,33.8687326,-78.5033441,3
Belted Kingfisher,33.869277,-78.516229,2
Belted Kingfisher,33.8696621,-77.983402,1
Belted Kingfisher,33.8699794,-78.5184435,1
Belted Kingfisher,33.870052,-78.518283,3
Belted Kingfisher,33.8700592,-77.9834461,1
Belted Kingfisher,33.8701305,-77.9735756,1
Belted Kingfisher,33.8702878,-78.5183837,1
Belted Kingfisher,33.8703209,-78.511613,2
Belted Kingfisher,33.8704156,-77.9754639,50
Belted Kingfisher,33.8705403,-78.5181713,2
Belted Kingfisher,33.8707006,-78.5181284,1
Belted Kingfisher,33.871056,-78.508077,6
Belted Kingfisher,33.8715558,-78.5078716,51
Belted Kingfisher,33.87156,-78.50787,1
Belted Kingfisher,33.871841,-77.999551,1
Belted Kingfisher,33.871851,-78.50328,1
Belted Kingfisher,33.8719477,-77.9977262,10
Belted Kingfisher,33.872025,-78.495803,4
Belted Kingfisher,33.872064,-78.000176,4
Belted Kingfisher,33.872197,-78.495549,2
Belted Kingfisher,33.872257,-78.508063,1
Belted Kingfisher,33.872329,-78.496321,2
Belted Kingfisher,33.872373,-78.501751,2
Belted Kingfisher,33.872865,-78.49214,4
Belted Kingfisher,33.872873,-78.50837,1
Belted Kingfisher,33.8729098,-78.4842682,37
Belted Kingfisher,33.872981,-78.501244,2
Belted Kingfisher,33.872984,-78.488873,2
Belted Kingfisher,33.8733464,-78.4883632,1
Belted Kingfisher,33.8734714,-78.5012251,3
Belted Kingfisher,33.874268,-78.493725,5
Belted Kingfisher,33.874276,-78.497356,1
Belted Kingfisher,33.8745317,-78.4976362,8
Belted Kingfisher,33.8747983,-78.4819078,3
Belted Kingfisher,33.8754752,-78.5914278,1
Belted Kingfisher,33.875703,-78.509203,1
Belted Kingfisher,33.875725,-78.493115,2
Belted Kingfisher,33.8757345,-78.4823179,45
Belted Kingfisher,33.875829,-78.493626,10
Belted Kingfisher,33.87603,-78.49315,4
Belted Kingfisher,33.8763125,-78.000741,1
Belted Kingfisher,33.8764826,-78.509495,1
Belted Kingfisher,33.8766973,-78.5406388,2
Belted Kingfisher,33.8768292,-78.5407341,2
Belted Kingfisher,33.8768894,-78.5409094,1
Belted Kingfisher,33.877478,-77.998119,2
Belted Kingfisher,33.877497,-77.998129,1
Belted Kingfisher,33.877827,-78.494911,2
Belted Kingfisher,33.878486,-78.4706426,1
Belted Kingfisher,33.879992,-77.997859,1
Belted Kingfisher,33.88007,-78.530635,2
Belted Kingfisher,33.880098,-78.530675,1
Belted Kingfisher,33.8801478,-78.5303007,8
Belted Kingfisher,33.8802858,-78.5381047,3
Belted Kingfisher,33.8806771,-77.9576111,46
Belted Kingfisher,33.88077,-78.51223,5
Belted Kingfisher,33.881066,-77.9972,10
Belted Kingfisher,33.8811142,-77.9965939,27
Belted Kingfisher,33.881147,-78.5211285,2
Belted Kingfisher,33.8811816,-78.5212612,2
Belted Kingfisher,33.8812654,-78.521232,1
Belted Kingfisher,33.881268,-78.5214373,1
Belted Kingfisher,33.8813304,-78.5211736,1
Belted Kingfisher,33.8813407,-78.5213874,2
Belted Kingfisher,33.8813487,-78.5212044,1
Belted Kingfisher,33.881359,-78.5211473,1
Belted Kingfisher,33.881398,-78.520878,1
Belted Kingfisher,33.881503,-78.520728,2
Belted Kingfisher,33.8815089,-78.5201511,4
Belted Kingfisher,33.8815126,-78.5206255,19
Belted Kingfisher,33.8815373,-78.5206598,1
Belted Kingfisher,33.8815696,-78.5205035,2
Belted Kingfisher,33.881571,-78.520443,1
Belted Kingfisher,33.8815721,-78.5204022,1
Belted Kingfisher,33.881577,-78.520483,1
Belted Kingfisher,33.881588,-78.520668,3
Belted Kingfisher,33.8815946,-78.5207248,5
Belted Kingfisher,33.8815991,-78.5205658,1
Belted Kingfisher,33.8816035,-78.5207248,6
Belted Kingfisher,33.8816341,-78.5207311,1
Belted Kingfisher,33.881661,-78.5203607,1
Belted Kingfisher,33.881662,-78.520342,1
Belted Kingfisher,33.881673,-78.5204781,1
Belted Kingfisher,33.8816772,-78.5205958,1
Belted Kingfisher,33.8816894,-78.5203355,2
Belted Kingfisher,33.881727,-78.520784,1
Belted Kingfisher,33.881769,-78.52044,2
Belted Kingfisher,33.881966,-78.520615,1
Belted Kingfisher,33.88198,-78.521273,1
Belted Kingfisher,33.882127,-78.459571,1
Belted Kingfisher,33.882141,-78.459793,4
Belted Kingfisher,33.882237,-78.511207,1
Belted Kingfisher,33.8826272,-78.5156822,2
Belted Kingfisher,33.8827435,-78.5306168,1
Belted Kingfisher,33.882783,-77.996093,1
Belted Kingfisher,33.882854,-78.510265,1
Belted Kingfisher,33.882913,-78.460141,5
Belted Kingfisher,33.8829367,-78.5274121,4
Belted Kingfisher,33.8830112,-78.5100372,1
Belted Kingfisher,33.88309,-78.51081,1
Belted Kingfisher,33.88311,-78.510603,2
Belted Kingfisher,33.883147,-78.510609,4
Belted Kingfisher,33.883181,-78.509751,1
Belted Kingfisher,33.883241,-78.509727,2
Belted Kingfisher,33.883246,-78.510543,1
Belted Kingfisher,33.8833136,-78.526926,315
Belted Kingfisher,33.883341,-78.510795,3
Belted Kingfisher,33.8834027,-78.5104036,28
Belted Kingfisher,33.8834045,-78.5106253,1
Belted Kingfisher,33.8834205,-78.5272264,10
Belted Kingfisher,33.8834205,-78.5104036,7
Belted Kingfisher,33.883472,-78.5103144,1
Belted Kingfisher,33.8834958,-78.4636586,2
Belted Kingfisher,33.8839905,-78.5335779,1
Belted Kingfisher,33.8840701,-78.4601748,8
Belted Kingfisher,33.8840868,-78.509967,2
Belted Kingfisher,33.884124,-78.4587764,6
Belted Kingfisher,33.884214,-78.462731,3
Belted Kingfisher,33.88461,-78.510652,2
Belted Kingfisher,33.8846228,-78.4595096,8
Belted Kingfisher,33.8846737,-78.5674721,6
Belted Kingfisher,33.88475,-78.567686,2
Belted Kingfisher,33.884756,-78.459359,1
Belted Kingfisher,33.88479,-78.452984,1
Belted Kingfisher,33.884891,-78.567736,3
Belted Kingfisher,33.885062,-78.454758,3
Belted Kingfisher,33.885249,-78.567322,2
Belted Kingfisher,33.8852731,-78.4638834,1
Belted Kingfisher,33.885598,-78.453695,2
Belted Kingfisher,33.885707,-78.453543,2
Belted Kingfisher,33.886351,-78.449726,1
Belted Kingfisher,33.8863775,-78.0207825,1
Belted Kingfisher,33.8864232,-78.5126409,2
Belted Kingfisher,33.886431,-78.453222,1
Belted Kingfisher,33.8866372,-78.5124597,1
Belted Kingfisher,33.8867216,-78.5389123,1
Belted Kingfisher,33.8870365,-78.5022604,1
Belted Kingfisher,33.88709,-78.4295082,1
Belted Kingfisher,33.8873394,-78.4457731,3
Belted Kingfisher,33.8874742,-77.9906931,1
Belted Kingfisher,33.8875887,-78.5168839,2
Belted Kingfisher,33.8883146,-78.4504402,24
Belted Kingfisher,33.888372,-78.529357,1
Belted Kingfisher,33.8883725,-78.5557652,2
Belted Kingfisher,33.888491,-78.545383,1
Belted Kingfisher,33.8886219,-78.5288465,62
Belted Kingfisher,33.8886386,-78.5295465,2
Belted Kingfisher,33.888761,-78.5494173,4
Belted Kingfisher,33.8888186,-78.5498989,1
Belted Kingfisher,33.8888791,-78.5496525,7
Belted Kingfisher,33.8889006,-78.5498048,2
Belted Kingfisher,33.8889209,-78.5497814,1
Belted Kingfisher,33.8889326,-78.5495208,1
Belted Kingfisher,33.8889361,-78.5498753,2
Belted Kingfisher,33.888945,-78.5497639,1
Belted Kingfisher,33.8889472,-78.5491242,1
Belted Kingfisher,33.88895,-78.5498215,1
Belted Kingfisher,33.888991,-78.5496733,1
Belted Kingfisher,33.8889942,-78.5496629,1
Belted Kingfisher,33.8889967,-78.5495407,1
Belted Kingfisher,33.889022,-78.5496713,2
Belted Kingfisher,33.889047,-78.5498281,1
Belted Kingfisher,33.8890549,-78.5496611,1
Belted Kingfisher,33.8890735,-78.5498621,2
Belted Kingfisher,33.8890748,-78.5498762,1
Belted Kingfisher,33.8890788,-78.5495729,1
Belted Kingfisher,33.8890989,-78.5495562,1
Belted Kingfisher,33.8891124,-78.5498129,1
Belted Kingfisher,33.8891746,-78.549715,2
Belted Kingfisher,33.889185,-78.549566,2
Belted Kingfisher,33.8892097,-78.5495961,1
Belted Kingfisher,33.8892275,-78.5494351,2
Belted Kingfisher,33.889262,-78.5554131,1
Belted Kingfisher,33.8893843,-78.5486412,7
Belted Kingfisher,33.8894011,-78.5504183,1
Belted Kingfisher,33.889541,-78.549428,1
Belted Kingfisher,33.8900647,-78.5492581,2
Belted Kingfisher,33.890167,-78.566494,2
Belted Kingfisher,33.890168,-78.549119,2
Belted Kingfisher,33.8903675,-78.5491562,3
Belted Kingfisher,33.8903675,-78.0199242,23
Belted Kingfisher,33.8906477,-78.5771904,2
Belted Kingfisher,33.8906555,-78.5148883,2
Belted Kingfisher,33.8907704,-78.5527903,2
Belted Kingfisher,33.89085,-78.470379,1
Belted Kingfisher,33.8914125,-78.4276199,44
Belted Kingfisher,33.891489,-78.031604,1
Belted Kingfisher,33.8915974,-78.4377333,3
Belted Kingfisher,33.891607,-78.51342,2
Belted Kingfisher,33.8918993,-78.4575748,1
Belted Kingfisher,33.892154,-78.513933,2
Belted Kingfisher,33.89221,-78.5128325,2
Belted Kingfisher,33.892311,-78.434081,1
Belted Kingfisher,33.8923624,-78.0194092,1
Belted Kingfisher,33.892396,-78.512882,5
Belted Kingfisher,33.8923997,-78.5129203,2
Belted Kingfisher,33.8924938,-78.5128742,6
Belted Kingfisher,33.892632,-78.51266,1
Belted Kingfisher,33.8931436,-78.5126719,2
Belted Kingfisher,33.893256,-78.512479,6
Belted Kingfisher,33.893604,-78.512307,2
Belted Kingfisher,33.8937789,-78.5119458,2
Belted Kingfisher,33.894077,-78.439915,1
Belted Kingfisher,33.8943183,-78.5200552,1
Belted Kingfisher,33.894737,-78.019172,1
Belted Kingfisher,33.8952122,-78.047905,1
Belted Kingfisher,33.895516,-78.048129,1
Belted Kingfisher,33.8959425,-78.4398669,2
Belted Kingfisher,33.896073,-78.419107,1
Belted Kingfisher,33.896226,-78.55399,1
Belted Kingfisher,33.8968591,-78.4034489,1
Belted Kingfisher,33.8974135,-78.510764,1
Belted Kingfisher,33.8974338,-78.5412643,1
Belted Kingfisher,33.8977631,-78.4031005,1
Belted Kingfisher,33.898626,-78.058274,3
Belted Kingfisher,33.899768,-78.397303,2
Belted Kingfisher,33.8997814,-78.3981106,1
Belted Kingfisher,33.9001636,-78.3953047,1
Belted Kingfisher,33.900278,-77.964862,3
Belted Kingfisher,33.9010986,-78.3941245,46
Belted Kingfisher,33.9016715,-78.0171776,4
Belted Kingfisher,33.9018178,-78.5153967,2
Belted Kingfisher,33.9019945,-78.3825073,20
Belted Kingfisher,33.90238,-78.39187,4
Belted Kingfisher,33.9025988,-78.3736672,1
Belted Kingfisher,33.9028707,-78.3940601,1
Belted Kingfisher,33.9032891,-78.5538445,1
Belted Kingfisher,33.903445,-78.366176,1
Belted Kingfisher,33.903638,-78.368798,1
Belted Kingfisher,33.904014,-78.401585,7
Belted Kingfisher,33.9041352,-78.5182142,1
Belted Kingfisher,33.9043311,-78.0605221,37
Belted Kingfisher,33.904675,-78.363276,1
Belted Kingfisher,33.9046827,-78.3491434,4
Belted Kingfisher,33.9048182,-78.4396206,1
Belted Kingfisher,33.905255,-78.393763,1
Belted Kingfisher,33.9052571,-78.3940709,1
Belted Kingfisher,33.906344,-78.347036,1
Belted Kingfisher,33.9085692,-78.1000952,24
Belted Kingfisher,33.9086617,-78.1008752,2
Belted Kingfisher,33.9092463,-78.0966997,1
Belted Kingfisher,33.9095059,-78.3420528,10
Belted Kingfisher,33.909866,-78.063502,1
Belted Kingfisher,33.9099196,-78.1172598,1
Belted Kingfisher,33.910068,-78.315825,1
Belted Kingfisher,33.910208,-78.332519,1
Belted Kingfisher,33.91039,-78.3117781,2
Belted Kingfisher,33.9105969,-78.3366409,1
Belted Kingfisher,33.9105973,-78.1224575,1
Belted Kingfisher,33.9106114,-78.5199108,4
Belted Kingfisher,33.9106519,-78.3177567,1
Belted Kingfisher,33.9107651,-78.2965672,4
Belted Kingfisher,33.9109461,-78.3277364,8
Belted Kingfisher,33.9114545,-78.3465958,4
Belted Kingfisher,33.911455,-78.404464,1
Belted Kingfisher,33.911566,-78.08296,4
Belted Kingfisher,33.9116654,-78.4025507,4
Belted Kingfisher,33.911934,-78.122381,1
Belted Kingfisher,33.9121199,-78.0831707,17
Belted Kingfisher,33.912345,-78.514012,1
Belted Kingfisher,33.9124161,-78.1223845,5
Belted Kingfisher,33.912448,-78.122399,2
Belted Kingfisher,33.912465,-78.122321,2
Belted Kingfisher,33.9126387,-78.3356194,2
Belted Kingfisher,33.9127917,-78.3347726,1
Belted Kingfisher,33.9128791,-78.2229996,3
Belted Kingfisher,33.912903,-78.384527,5
Belted Kingfisher,33.913037,-78.392552,1
Belted Kingfisher,33.9130537,-78.3023966,8
Belted Kingfisher,33.9130744,-78.3845716,1
