common.name,latitude,longitude,observation.count
Belted Kingfisher,41.9941909,-120.3235781,12
Belted Kingfisher,41.9966893,-120.0426936,1
Belted Kingfisher,42.0016008,-124.2119408,31
Belted Kingfisher,42.001832,-124.163012,3
Belted Kingfisher,42.0022578,-124.2111089,1
Belted Kingfisher,42.0034505,-124.1978002,10
Belted Kingfisher,42.0035143,-124.2121124,16
Belted Kingfisher,42.003563,-124.213745,1
Belted Kingfisher,42.0036674,-124.1977143,30
Belted Kingfisher,42.0040564,-124.2146873,1
Belted Kingfisher,42.0040883,-124.1979504,5
Belted Kingfisher,42.004117,-124.204692,1
Belted Kingfisher,42.004421,-124.216125,3
Belted Kingfisher,42.0045348,-124.2132282,1
Belted Kingfisher,42.0046949,-121.5550728,1
Belted Kingfisher,42.0054277,-124.2146873,1
Belted Kingfisher,42.00583,-124.18644,1
Belted Kingfisher,42.005844,-124.186563,3
Belted Kingfisher,42.0059705,-124.2130351,72
Belted Kingfisher,42.00605,-121.222145,2
Belted Kingfisher,42.006106,-124.213115,1
Belted Kingfisher,42.006151,-124.212922,1
Belted Kingfisher,42.006193,-124.2127079,1
Belted Kingfisher,42.0062127,-124.1868289,2
Belted Kingfisher,42.006293,-124.212919,2
Belted Kingfisher,42.0065119,-121.2216425,4
Belted Kingfisher,42.0067616,-121.5353679,8
Belted Kingfisher,42.0068076,-124.1837198,1
Belted Kingfisher,42.007491,-124.18731,1
Belted Kingfisher,42.0081797,-124.1890158,1
Belted Kingfisher,42.00958,-121.2291,1
Belted Kingfisher,42.009596,-121.612296,1
Belted Kingfisher,42.0097831,-121.1057419,2
Belted Kingfisher,42.0098602,-121.1171651,5
Belted Kingfisher,42.0104932,-121.5613791,2
Belted Kingfisher,42.0105298,-121.5615535,1
Belted Kingfisher,42.0105759,-124.1838698,3
Belted Kingfisher,42.0109535,-120.1458747,2
Belted Kingfisher,42.011049,-121.117125,2
Belted Kingfisher,42.0128905,-123.6273162,2
Belted Kingfisher,42.013181,-122.158178,1
Belted Kingfisher,42.013309,-118.102542,2
Belted Kingfisher,42.0136824,-121.2281804,2
Belted Kingfisher,42.013744,-121.7566509,10
Belted Kingfisher,42.0139031,-118.100784,1
Belted Kingfisher,42.0141011,-121.7782974,1
Belted Kingfisher,42.014954,-121.4117843,2
Belted Kingfisher,42.0149636,-124.1134948,1
Belted Kingfisher,42.0163968,-121.7903137,3
Belted Kingfisher,42.0163968,-121.4095688,1
Belted Kingfisher,42.0186924,-124.2900467,1
Belted Kingfisher,42.019175,-124.105403,1
Belted Kingfisher,42.0193881,-124.1055308,2
Belted Kingfisher,42.0200613,-124.2360255,3
Belted Kingfisher,42.0205012,-122.0996046,2
Belted Kingfisher,42.0205227,-121.0901185,3
Belted Kingfisher,42.0207329,-121.739502,2
Belted Kingfisher,42.0219654,-121.5995979,2
Belted Kingfisher,42.0220315,-124.2243004,1
Belted Kingfisher,42.0220911,-121.5933403,1
Belted Kingfisher,42.0221016,-123.1632614,2
Belted Kingfisher,42.022104,-122.106682,1
Belted Kingfisher,42.022437,-122.105951,2
Belted Kingfisher,42.0225023,-121.6002095,5
Belted Kingfisher,42.02256,-123.63278,3
Belted Kingfisher,42.022662,-122.107583,1
Belted Kingfisher,42.0228051,-121.6000915,1
Belted Kingfisher,42.0243057,-121.8256073,3
Belted Kingfisher,42.0243992,-121.7778454,2
Belted Kingfisher,42.0244,-122.348319,2
Belted Kingfisher,42.0246332,-124.2384605,1
Belted Kingfisher,42.0250686,-121.6069794,1
Belted Kingfisher,42.0258975,-124.241209,6
Belted Kingfisher,42.02616,-124.1434,1
Belted Kingfisher,42.026335,-122.100585,2
Belted Kingfisher,42.026544,-122.10065,55
Belted Kingfisher,42.027184,-124.1099075,2
Belted Kingfisher,42.0297472,-124.1064735,4
Belted Kingfisher,42.030085,-124.1720785,9
Belted Kingfisher,42.0312538,-124.1070687,1
Belted Kingfisher,42.0324472,-122.1008702,1
Belted Kingfisher,42.0332143,-124.1674358,1
Belted Kingfisher,42.0342063,-122.0968526,1
Belted Kingfisher,42.0348647,-124.3333655,1
Belted Kingfisher,42.03543,-124.108729,2
Belted Kingfisher,42.0355188,-123.6416925,2
Belted Kingfisher,42.0366355,-124.1087123,1
Belted Kingfisher,42.037866,-121.187914,1
Belted Kingfisher,42.0385842,-121.769886,17
Belted Kingfisher,42.038596,-121.860163,1
Belted Kingfisher,42.0387046,-121.8286064,4
Belted Kingfisher,42.0387117,-121.8013,1
Belted Kingfisher,42.03873,-121.815969,1
Belted Kingfisher,42.0387436,-121.5211058,1
Belted Kingfisher,42.038863,-121.863626,4
Belted Kingfisher,42.038932,-121.732521,2
Belted Kingfisher,42.0389423,-121.8075228,1
Belted Kingfisher,42.0393343,-121.735761,5
Belted Kingfisher,42.041815,-121.201558,2
Belted Kingfisher,42.0423622,-123.014562,1
Belted Kingfisher,42.043909,-124.263836,1
Belted Kingfisher,42.044055,-124.290613,1
Belted Kingfisher,42.0441564,-124.2716564,11
Belted Kingfisher,42.0443211,-124.2902613,32
Belted Kingfisher,42.0445123,-124.2695332,28
Belted Kingfisher,42.044958,-124.266919,1
Belted Kingfisher,42.0455481,-124.266572,1
Belted Kingfisher,42.0456259,-124.2715663,1
Belted Kingfisher,42.045703,-124.264297,1
Belted Kingfisher,42.045742,-124.267601,2
Belted Kingfisher,42.045883,-124.267864,1
Belted Kingfisher,42.0460479,-121.7664279,1
Belted Kingfisher,42.0462729,-124.2780926,1
Belted Kingfisher,42.046775,-124.2911196,2
Belted Kingfisher,42.0471,-124.09379,1
Belted Kingfisher,42.0471256,-124.2689323,2
Belted Kingfisher,42.0476196,-124.269222,1
Belted Kingfisher,42.0480603,-124.2693511,2
Belted Kingfisher,42.0481773,-124.2693615,7
Belted Kingfisher,42.04819,-124.09077,1
Belted Kingfisher,42.0483579,-124.1166021,2
Belted Kingfisher,42.0484481,-124.2694902,1
Belted Kingfisher,42.04856,-124.088,1
Belted Kingfisher,42.0487615,-124.2696373,1
Belted Kingfisher,42.0488424,-124.2678627,6
Belted Kingfisher,42.0488784,-121.6592073,4
Belted Kingfisher,42.0489969,-124.2701932,2
Belted Kingfisher,42.049441,-121.208987,1
Belted Kingfisher,42.0496352,-124.2703271,1
Belted Kingfisher,42.0497228,-124.2704129,5
Belted Kingfisher,42.0498344,-124.2697263,1
Belted Kingfisher,42.0499937,-124.2705631,2
Belted Kingfisher,42.0501371,-124.2704773,5
Belted Kingfisher,42.050177,-124.2704773,1
Belted Kingfisher,42.0503602,-124.2936301,1
Belted Kingfisher,42.050365,-124.295524,1
Belted Kingfisher,42.050389,-124.061179,3
Belted Kingfisher,42.0506231,-124.2699623,1
Belted Kingfisher,42.0506311,-124.2705202,1
Belted Kingfisher,42.0509816,-122.0894551,1
Belted Kingfisher,42.0510573,-124.2763721,1
Belted Kingfisher,42.0515233,-124.2906046,4
Belted Kingfisher,42.0515568,-124.2900782,5
Belted Kingfisher,42.0517783,-124.2693615,59
Belted Kingfisher,42.0518101,-124.2698443,2
Belted Kingfisher,42.0521288,-124.2693615,1
