common.name,latitude,longitude,observation.count
Belted Kingfisher,42.733977,-72.616233,1
Belted Kingfisher,42.735382,-72.6162601,1
Belted Kingfisher,42.7364093,-72.5091818,3
Belted Kingfisher,42.73699,-72.614886,2
Belted Kingfisher,42.7374895,-72.4744078,1
Belted Kingfisher,42.739974,-72.926865,1
Belted Kingfisher,42.7424518,-72.6110395,2
Belted Kingfisher,42.7433872,-72.9260202,5
Belted Kingfisher,42.744068,-72.500219,1
Belted Kingfisher,42.745137,-73.187853,1
Belted Kingfisher,42.7452879,-72.9277061,1
Belted Kingfisher,42.7456425,-72.9247429,1
Belted Kingfisher,42.7470543,-72.9237156,5
Belted Kingfisher,42.748588,-73.190988,1
Belted Kingfisher,42.7486242,-72.4852761,4
Belted Kingfisher,42.7501794,-72.6186526,2
Belted Kingfisher,42.752105,-73.227121,1
Belted Kingfisher,42.7525849,-73.2164703,1
Belted Kingfisher,42.753063,-73.225043,5
Belted Kingfisher,42.7533282,-72.6348547,1
Belted Kingfisher,42.7545123,-73.2360649,7
Belted Kingfisher,42.7555958,-73.2338827,6
Belted Kingfisher,42.7559121,-73.2328072,1
Belted Kingfisher,42.759595,-72.779254,2
Belted Kingfisher,42.7597867,-73.2339873,62
Belted Kingfisher,42.7598111,-73.234018,2
Belted Kingfisher,42.7600509,-72.779038,2
Belted Kingfisher,42.7602724,-72.5154305,18
Belted Kingfisher,42.760318,-72.4833888,20
Belted Kingfisher,42.7607976,-72.4838596,2
Belted Kingfisher,42.761253,-72.482775,1
Belted Kingfisher,42.7618239,-72.9829974,1
Belted Kingfisher,42.76198,-72.51343,8
Belted Kingfisher,42.7635716,-72.4817862,1
Belted Kingfisher,42.764926,-72.5070512,6
Belted Kingfisher,42.7654458,-72.5051308,4
Belted Kingfisher,42.7662965,-72.5032425,46
Belted Kingfisher,42.7664383,-72.4962044,4
Belted Kingfisher,42.7665485,-72.6051664,1
Belted Kingfisher,42.7697935,-72.5144434,1
Belted Kingfisher,42.7706598,-73.2430816,1
Belted Kingfisher,42.7709732,-72.5159747,1
Belted Kingfisher,42.7710851,-72.5169754,1
Belted Kingfisher,42.7719042,-72.5151729,49
Belted Kingfisher,42.7722822,-72.5142288,9
Belted Kingfisher,42.7724076,-72.5148344,2
Belted Kingfisher,42.7770947,-72.8785653,5
Belted Kingfisher,42.7784553,-72.5261203,2
Belted Kingfisher,42.7835591,-72.5236702,29
Belted Kingfisher,42.7839055,-72.5218892,1
Belted Kingfisher,42.7844417,-72.986157,2
Belted Kingfisher,42.7846299,-72.5198507,130
Belted Kingfisher,42.7852284,-72.5202799,4
Belted Kingfisher,42.7853461,-72.5192088,1
Belted Kingfisher,42.7897321,-73.2544327,1
Belted Kingfisher,42.790444,-73.256052,3
Belted Kingfisher,42.7908658,-73.2527161,1
Belted Kingfisher,42.790935,-73.255896,102
Belted Kingfisher,42.791827,-73.255504,1
Belted Kingfisher,42.7918739,-73.2558485,16
Belted Kingfisher,42.791943,-73.25577,4
Belted Kingfisher,42.791993,-73.256759,3
Belted Kingfisher,42.7927,-73.257387,3
Belted Kingfisher,42.7984125,-73.1927045,1
Belted Kingfisher,42.7985652,-73.1929655,19
Belted Kingfisher,42.801744,-73.187785,1
Belted Kingfisher,42.8047531,-72.5930768,1
Belted Kingfisher,42.809495,-73.2861337,1
Belted Kingfisher,42.8099283,-73.1788176,191
Belted Kingfisher,42.8117022,-72.5662617,1
Belted Kingfisher,42.8122144,-73.2779717,1
Belted Kingfisher,42.813583,-72.593411,1
Belted Kingfisher,42.8137255,-72.5457287,1
Belted Kingfisher,42.8147014,-73.170855,3
Belted Kingfisher,42.8156735,-73.2805702,1
Belted Kingfisher,42.8174032,-72.596565,1
Belted Kingfisher,42.818184,-72.54833,1
Belted Kingfisher,42.819923,-72.5468123,3
Belted Kingfisher,42.820485,-72.546196,9
Belted Kingfisher,42.8208579,-72.9049611,10
Belted Kingfisher,42.823987,-73.1285856,4
Belted Kingfisher,42.830282,-72.987306,1
Belted Kingfisher,42.830414,-72.5498253,41
Belted Kingfisher,42.830435,-72.986922,2
Belted Kingfisher,42.830959,-72.586448,16
Belted Kingfisher,42.8309906,-72.585865,3
Belted Kingfisher,42.8314141,-72.58619,1
Belted Kingfisher,42.831635,-72.586082,2
Belted Kingfisher,42.8316539,-72.5860969,2
Belted Kingfisher,42.8319537,-72.5852482,3
Belted Kingfisher,42.8320604,-72.5858072,2
Belted Kingfisher,42.833839,-72.5849625,1
Belted Kingfisher,42.8341898,-72.5484758,2
Belted Kingfisher,42.834268,-72.548027,15
Belted Kingfisher,42.8342926,-72.5486602,2
Belted Kingfisher,42.8345639,-72.548521,1
Belted Kingfisher,42.83467,-72.547362,3
Belted Kingfisher,42.8346739,-72.7211631,8
Belted Kingfisher,42.835248,-72.5490436,3
Belted Kingfisher,42.8356197,-72.5489094,1
Belted Kingfisher,42.8373403,-72.549958,2
Belted Kingfisher,42.8381386,-72.7107023,2
Belted Kingfisher,42.838775,-72.5665595,1
Belted Kingfisher,42.8422095,-72.5738811,1
Belted Kingfisher,42.842515,-72.5506469,1
Belted Kingfisher,42.8434176,-72.713069,25
Belted Kingfisher,42.844111,-72.7125071,1
Belted Kingfisher,42.845279,-72.567054,1
Belted Kingfisher,42.847799,-72.559516,2
Belted Kingfisher,42.8494038,-72.588128,1
Belted Kingfisher,42.850627,-72.558601,1
Belted Kingfisher,42.8507213,-72.7756916,2
Belted Kingfisher,42.850847,-72.556371,1
Belted Kingfisher,42.85088,-72.55783,5
Belted Kingfisher,42.8510629,-72.8390015,2
Belted Kingfisher,42.851532,-72.5562148,1
Belted Kingfisher,42.851562,-72.55617,1
Belted Kingfisher,42.851582,-72.556174,2
Belted Kingfisher,42.8523556,-72.55723,1
Belted Kingfisher,42.852636,-73.172235,1
Belted Kingfisher,42.8526969,-72.7967218,1
Belted Kingfisher,42.857224,-72.882251,1
Belted Kingfisher,42.8578974,-72.5664568,11
Belted Kingfisher,42.8587902,-72.5753188,1
Belted Kingfisher,42.8596258,-72.6019838,5
Belted Kingfisher,42.8601504,-72.5637023,2
Belted Kingfisher,42.8604261,-73.1953382,1
Belted Kingfisher,42.8605912,-73.195585,19
Belted Kingfisher,42.860717,-73.1964648,8
Belted Kingfisher,42.86331,-72.566892,1
Belted Kingfisher,42.8635303,-72.5668538,2
Belted Kingfisher,42.864128,-72.558941,2
Belted Kingfisher,42.8646727,-72.5626374,123
Belted Kingfisher,42.864832,-72.559766,1
Belted Kingfisher,42.8649533,-72.5589632,1
Belted Kingfisher,42.8649917,-72.5594516,1
Belted Kingfisher,42.8650187,-72.897892,1
Belted Kingfisher,42.865093,-72.559504,3
Belted Kingfisher,42.865196,-72.559167,2
Belted Kingfisher,42.8654276,-72.5672507,2
Belted Kingfisher,42.8657732,-72.558044,1
Belted Kingfisher,42.865971,-72.567301,2
Belted Kingfisher,42.866579,-72.567241,2
Belted Kingfisher,42.866651,-72.567521,23
Belted Kingfisher,42.866668,-72.568614,1
Belted Kingfisher,42.8671334,-72.5676975,1
Belted Kingfisher,42.867451,-72.910871,2
Belted Kingfisher,42.867797,-72.8732318,1
Belted Kingfisher,42.8680304,-72.5585818,1
Belted Kingfisher,42.8693501,-72.9105867,1
Belted Kingfisher,42.8698427,-72.5628519,3
Belted Kingfisher,42.8699255,-72.5605774,1
Belted Kingfisher,42.869984,-72.600523,2
Belted Kingfisher,42.8701553,-72.5630976,11
Belted Kingfisher,42.8705584,-73.1984708,1
Belted Kingfisher,42.8705748,-72.5622452,1
Belted Kingfisher,42.8708376,-73.2161951,1
Belted Kingfisher,42.8708376,-72.5623799,530
Belted Kingfisher,42.8711092,-72.5618255,8
Belted Kingfisher,42.8711585,-72.5596457,1
Belted Kingfisher,42.8714068,-72.5627301,1
Belted Kingfisher,42.8716601,-72.564473,3
Belted Kingfisher,42.8716868,-73.2538319,6
Belted Kingfisher,42.872426,-73.260611,1
Belted Kingfisher,42.8724967,-73.180511,33
Belted Kingfisher,42.8726854,-73.1808436,154
Belted Kingfisher,42.8732117,-72.5677583,3
Belted Kingfisher,42.874224,-72.561101,4
Belted Kingfisher,42.8745029,-73.0772962,1
Belted Kingfisher,42.8750622,-72.8184591,6
Belted Kingfisher,42.8755668,-72.8243136,1
Belted Kingfisher,42.876193,-73.2209387,1
Belted Kingfisher,42.877776,-72.554689,1
Belted Kingfisher,42.879479,-73.075172,4
Belted Kingfisher,42.881036,-72.707138,1
Belted Kingfisher,42.8812287,-72.5630683,1
Belted Kingfisher,42.8817952,-73.2514248,1
Belted Kingfisher,42.8825207,-72.56277,1
Belted Kingfisher,42.8828433,-73.2168603,1
Belted Kingfisher,42.8831893,-73.2182757,5
Belted Kingfisher,42.8832285,-73.2318807,1
Belted Kingfisher,42.883306,-72.70404,9
Belted Kingfisher,42.883474,-73.039965,1
Belted Kingfisher,42.8840776,-73.2327604,3
Belted Kingfisher,42.8862584,-73.0395716,1
